保管成本指在保管过程中为保管物品而发生的全部费用。,保管成本指在保管过程中为保管物品而发生的全部费用。,10
订货成本指企业为了实现一次订货的各种活动的费用。包括差旅费、订货手续费、招待费等。,订货成本指企业为了实现一次订货的各种活动的费用。包括差旅费、订货手续费、招待费等。,10
所有分货作业过程全部由人根据订单、拣货单来进行，作业由人、货架、集货设备（货箱、托盘等）配合完成，不借助任何电脑或自动化的辅助设备就是人工分货。,人工分货是指所有分货作业过程全部由人根据订单、拣货单来进行，作业由人、货架、集货设备（货箱、托盘等）配合完成，不借助任何电脑或自动化的辅助设备。,10
总合计量分批方式的优缺点：优点是一次拣出商品总量，可使平均拣取路径减到最短；储存区域的储存单位单纯化。缺点是需要功能强大的分类系统完成分类作业，订单数不可过多。,总合计量分批方式的优缺点：优点——一次拣出商品总量，可使平均拣取路径减到最短；储存区域的储存单位单纯化。缺点——需要功能强大的分类系统完成分类作业，订单数不可过多。,10
配送中心绩效是指配送中心依据客户订单在组织配送运作过程中的劳动消耗和劳动占用与所创造的物流价值的对比关系或者是配送运作过程中配送中心投入的配送资源与创造的物流价值的对比。,配送中心绩效指配送中心依据客户订单在组织配送运作过程中的劳动消耗和劳动占用与所创造的物流价值的对比关系，或者是配送运作过程中配送中心投入的配送资源与创造的物流价值的对比。,10
配送作业流程：顾客下单；订单处理；拣货；配货；配装；配送；流通加工；进货；,配送作业流程：顾客下单；订单处理；拣货；配货；配装；配送；流通加工；进货；,10
仓库内部平面布局有：横列式、纵列式、混合式。,仓库内部平面布局有：横列式、纵列式、混合式。,10
WCS 即仓库控制系统，是介于WMS系统和PLC系统之间的一层管理控制系统。,WCS 是仓库控制系统(Warehouse Control System) 的缩写。WCS是介于WMS系统和PLC系统之间的一层管理控制系统。,10
配送中的储存形态有储备及暂存。 储备数量较大，更加有计划性。暂存是具体执行日配送时，按分拣配货要求，在理货场地所做的少量储存准备 。,配送中的储存有储备及暂存两种形态。 配送储备储备数量较大，储存更加有计划性。暂存，是具体执行日配送时，按分拣配货要求，在理货场地所做的少量储存准备 。,10
按货架的结构特点分类：层架、层格架、橱架、抽屉架等,按货架的结构特点分类：层架、层格架、橱架、抽屉架等,10
保税仓库，是指经海关批准设立的专门存放保税货物及其他未办结海关手续货物的仓库。,保税仓库，是指经海关批准设立的专门存放保税货物及其他未办结海关手续货物的仓库。,10
根据成本的性质可将仓储成本分为固定成本和变动成本两部分。,根据成本的性质可将仓储成本分为固定成本和变动成本两部分。,10
货至人前拣选方式是指将货物移动到人或拣选机旁，由人或拣选机拣选出所需的货物。,货至人前拣选方式是指将货物移动到人或拣选机旁，由人或拣选机拣选出所需的货物。,10
运输主体（人或者是货物）透过运输工具（或交通工具与运输路径），由甲地移动至乙地，完成某个经济目的的行为称为运输。,运输是指运输主体（人或者是货物）透过运输工具（或交通工具与运输路径），由甲地移动至乙地，完成某个经济目的的行为。,10
配货：使用各种拣选设备和传输装置，将存放的货物，按客户的要求分拣出来，配备齐全，送入指定发货区。,配货：使用各种拣选设备和传输装置，将存放的货物，按客户的要求分拣出来，配备齐全，送入指定发货区。,10
相关程度决定因素：两个区域之间传递的物流量的大小，物流量越大，关系密切程度就越高，否则就低；两个区域之间业务交流的频繁程度，如人员接触、文件传递等。前者称物流相关，后者称活动相关或非物流相关。,相关程度决定于两个因素：一是两个区域之间传递的物流量的大小，物流量越大，关系密切程度就越高，否则就低；二是两个区域之间业务交流的频繁程度，如人员接触、文件传递等。前者称物流相关，后者称活动相关或非物流相关。,10
运输方式按运输设备及运输工具可分为：公路运输；铁路运输；水路运输和航空运输；,运输方式按运输设备及运输工具分类：公路运输；铁路运输；水路运输；航空运输；,10
入库作业管理包括：收货；组盘和注册；上架,入库作业管理包括：收货；组盘和注册；上架,10
批量拣取是把多张订单集合成一批次，按商品品种类别将数量加总后再进行分拣，分拣完后再按客户订单进行分类处理的拣货作业方式，又称“播种式”。,批量拣取是把多张订单集合成一批次，按商品品种类别将数量加总后再进行分拣，分拣完后再按客户订单进行分类处理的拣货作业方式，又称“播种式”。,10
依据顾客的订货要求或配送中心的送货计划，迅速、准确地将商品向从其储位或其他区域拣取出来，并按一定的方式进行分类、集中，等待配装送货的作业过程就是拣货作业。,依据顾客的订货要求或配送中心的送货计划，迅速、准确地将商品向从其储位或其他区域拣取出来，并按一定的方式进行分类、集中，等待配装送货的作业过程就是拣货作业。,10
将零星物品集中成批量物品称为集货。,将零星物品集中成批量物品称为集货。,10
分区分类应考虑的因素：物品所需的储存条件；仓库空间利用率；地坪载荷；仓库设施条件。,分区分类应考虑的因素：仓库设施条件。,3
做好绩效管理的关键是建立明确的切实可行的KPI体系。,做好绩效管理的关键是建立明确的切实可行的KPI体系。,10
配送作业流程：顾客下单；订单处理；拣货；配货；配装；配送；流通加工；进货；,顾客下单；配货；配装；配送；,5
人至货前拣选方式的特点：货物处于静态储存方式，要求货物必须是小型，且出货量较少。,货物处于静态储存方式，要求货物必须是小型，且出货量较多。,7
集中不同客户的配送货物，进行搭配装载，以充分利用运能、运力的工作是配装。,配装是指集中不同客户的配送货物，进行搭配装载，以充分利用运能、运力的工作。,10
